HIP,_RA_icrs,_DE_icrs,Vmag,Plx,ecl_lat
9487,30.5117503,2.76375946,3.82,23.45,-9.060853409179789
22957,74.09281008,13.51446582,4.06,19.26,-9.064460752985752
108874,330.8285172,-2.15536296,4.74,8.56,9.162991587929085
12093,38.96863365,5.59324631,4.87,8.77,-9.180547703367688
29426,92.98498257,14.20876508,4.45,5.14,-9.2001577059207
64924,199.60131085,-18.31119618,4.74,117.3,-9.297812725269914
15900,51.20330738,9.02886984,3.61,15.42,-9.334239175271048
21589,69.53942698,12.51083801,4.27,21.79,-9.5021342958458
33202,103.66098292,13.17782721,4.73,35.79,-9.6241141860871
71957,220.76509742,-5.65820663,3.87,53.54,9.672060758892632
54879,168.56002157,15.42957019,3.33,18.36,9.674307710029886
36425,112.44909518,12.0065642,4.55,5.82,-9.714148449009862
47908,146.46280429,23.77425466,2.97,13.01,9.715383250559245
32249,100.99705285,13.22801729,4.49,11.82,-9.797576348283421
36366,112.27799603,31.78455041,4.16,54.06,9.80973787573429
112211,340.896805,-18.83037526,4.68,6.73,-9.957645661861497
9884,31.79336293,23.46242313,2.01,49.48,9.965113728127658
